YEAR,EVENT_TYPE,TOR_F_SCALE
2002,Flash Flood,
2002,Flash Flood,
2002,Flood,
2002,Flash Flood,
2002,Flash Flood,
2002,Flash Flood,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Frost/Freeze,
2002,Flash Flood,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Flood,
2002,Thunderstorm Wind,
2002,Frost/Freeze,
2002,Frost/Freeze,
2002,Heavy Snow,
2002,Flood,
2002,Hail,
2002,Tornado,F0
2002,Hail,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Extreme Cold/Wind Chill,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Hail,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Lightning,
2002,Lightning,
2002,Lightning,
2002,Tornado,F1
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Hail,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Flash Flood,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Hail,
2002,Thunderstorm Wind,
2002,Flood,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Strong Wind,
2002,Heavy Snow,
2002,Heavy Snow,
2002,Heavy Snow,
2002,Hail,
2002,Flash Flood,
2002,Hail,
2002,Flash Flood,
2002,Flash Flood,
2002,Flash Flood,
2002,Flash Flood,
2002,Flash Flood,
2002,Hail,
2002,Tornado,F0
2002,Thunderstorm Wind,
2002,Lightning,
2002,Thunderstorm Wind,
2002,Heat,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Tornado,F0
2002,Hail,
2002,Flood,
2002,Flood,
2002,Flood,
2002,Thunderstorm Wind,
2002,Flash Flood,
2002,Flood,
2002,Flood,
2002,Flood,
2002,Flood,
2002,Flood,
2002,Flood,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Hail,
2002,Flood,
2002,Frost/Freeze,
2002,Frost/Freeze,
2002,Flash Flood,
2002,Thunderstorm Wind,
2002,Flash Flood,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Flood,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Hail,
2002,Thunderstorm Wind,
2002,Tornado,F0
2002,Hail,
2002,Hail,
2002,Strong Wind,
2002,Strong Wind,
2002,Thunderstorm Wind,
2002,Hail,
2002,Thunderstorm Wind,
2002,Hail,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Hail,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Lightning,
2002,Thunderstorm Wind,
2002,Marine Thunderstorm Wind,
2002,Marine Thunderstorm Wind,
2002,Marine Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Flash Flood,
2002,Hail,
2002,Flood,
2002,Strong Wind,
2002,Strong Wind,
2002,Drought,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Hail,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Flood,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Flash Flood,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Hail,
2002,Flood,
2002,Flood,
2002,Flash Flood,
2002,Thunderstorm Wind,
2002,Heat,
2002,Frost/Freeze,
2002,Frost/Freeze,
2002,Flash Flood,
2002,Flash Flood,
2002,Flash Flood,
2002,Flash Flood,
2002,Hail,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Marine Thunderstorm Wind,
2002,Hail,
2002,Marine Thunderstorm Wind,
2002,Marine Thunderstorm Wind,
2002,Marine Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Flash Flood,
2002,Flash Flood,
2002,Thunderstorm Wind,
2002,Frost/Freeze,
2002,Hail,
2002,Flash Flood,
2002,Flash Flood,
2002,Flash Flood,
2002,Flash Flood,
2002,Hail,
2002,Thunderstorm Wind,
2002,Hail,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Flash Flood,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Hail,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Lightning,
2002,Lightning,
2002,Hail,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Hail,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Tornado,F0
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Tornado,F0
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Lightning,
2002,Hail,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Flash Flood,
2002,Flash Flood,
2002,Flash Flood,
2002,Hail,
2002,Flood,
2002,Flood,
2002,Flood,
2002,Hail,
2002,Hail,
2002,Flash Flood,
2002,Thunderstorm Wind,
2002,Flash Flood,
2002,Flash Flood,
2002,Flash Flood,
2002,Flash Flood,
2002,Flash Flood,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Flash Flood,
2002,Flash Flood,
2002,Flash Flood,
2002,Flash Flood,
2002,Flash Flood,
2002,Tornado,F0
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Hail,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Flash Flood,
2002,Frost/Freeze,
2002,Flash Flood,
2002,Hail,
2002,Hail,
2002,Flood,
2002,Flash Flood,
2002,Thunderstorm Wind,
2002,Flash Flood,
2002,Flash Flood,
2002,Flood,
2002,Hail,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Frost/Freeze,
2002,Frost/Freeze,
2002,Flash Flood,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Hail,
2002,Thunderstorm Wind,
2002,High Wind,
2002,Hail,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Flash Flood,
2002,Flash Flood,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Wildfire,
2002,Wildfire,
2002,Wildfire,
2002,Drought,
2002,Hail,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Heavy Rain,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Flash Flood,
2002,Hail,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Hail,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Hail,
2002,Flash Flood,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Hail,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Flash Flood,
2002,Flash Flood,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Winter Storm,
2002,Hail,
2002,Thunderstorm Wind,
2002,Hail,
2002,High Wind,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Tornado,F0
2002,Flash Flood,
2002,Flash Flood,
2002,Flash Flood,
2002,Flash Flood,
2002,Flood,
2002,Flood,
2002,Flash Flood,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Flash Flood,
2002,Flash Flood,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Flood,
2002,Flood,
2002,Marine Thunderstorm Wind,
2002,Hail,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Rip Current,
2002,Waterspout,
2002,Tornado,F0
2002,Flood,
2002,Flood,
2002,Hail,
2002,Frost/Freeze,
2002,Frost/Freeze,
2002,Lightning,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Flash Flood,
2002,Flash Flood,
2002,Hail,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Marine Thunderstorm Wind,
2002,Marine Thunderstorm Wind,
2002,Marine Thunderstorm Wind,
2002,Marine Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Hail,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,High Wind,
2002,High Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Lightning,
2002,Thunderstorm Wind,
2002,Wildfire,
2002,Tornado,F0
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Flash Flood,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Flash Flood,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,High Wind,
2002,Heavy Rain,
2002,Flash Flood,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Flood,
2002,Hail,
2002,Tornado,F0
2002,Tornado,F0
2002,Tornado,F0
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Hail,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Flood,
2002,Flood,
2002,Flood,
2002,Flood,
2002,Flood,
2002,Flood,
2002,Flood,
2002,Flood,
2002,Flood,
2002,Flood,
2002,Flood,
2002,Flood,
2002,Flood,
2002,Flood,
2002,Flood,
2002,Flood,
2002,Flood,
2002,Flood,
2002,Flood,
2002,Flood,
2002,Thunderstorm Wind,
2002,Heat,
2002,Winter Storm,
2002,Winter Storm,
2002,Flood,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Hail,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Flash Flood,
2002,Hail,
2002,Flash Flood,
2002,Marine Thunderstorm Wind,
2002,Marine Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Flash Flood,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Lightning,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Lightning,
2002,Thunderstorm Wind,
2002,Funnel Cloud,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Hail,
2002,Thunderstorm Wind,
2002,Wildfire,
2002,Drought,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Flood,
2002,Lightning,
2002,Hail,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Hail,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Hail,
2002,Flash Flood,
2002,Flood,
2002,Flood,
2002,Flood,
2002,Flood,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Flash Flood,
2002,Flash Flood,
2002,Thunderstorm Wind,
2002,Flood,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Hail,
2002,Thunderstorm Wind,
2002,Flood,
2002,Flood,
2002,Flood,
2002,Thunderstorm Wind,
2002,Tornado,F0
2002,Tornado,F0
2002,Hail,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Hail,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Drought,
2002,Tornado,F0
2002,Flood,
2002,Flood,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Flash Flood,
2002,Flood,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Flood,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Flash Flood,
2002,Hail,
2002,Flash Flood,
2002,Hail,
2002,Flash Flood,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Flash Flood,
2002,Drought,
2002,Thunderstorm Wind,
2002,Funnel Cloud,
2002,Hail,
2002,Flash Flood,
2002,Hail,
2002,Thunderstorm Wind,
2002,Drought,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,High Wind,
2002,High Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Hail,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Lightning,
2002,Thunderstorm Wind,
2002,Hail,
2002,Tornado,F0
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Hail,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Flash Flood,
2002,Flash Flood,
2002,Flash Flood,
2002,Flash Flood,
2002,Flash Flood,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Tornado,F2
2002,Tornado,F0
2002,Heavy Snow,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Flood,
2002,Hail,
2002,Hail,
2002,Drought,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Flash Flood,
2002,Hail,
2002,Flash Flood,
2002,Hail,
2002,Flash Flood,
2002,Flood,
2002,Flash Flood,
2002,Drought,
2002,Hail,
2002,Thunderstorm Wind,
2002,Hail,
2002,Thunderstorm Wind,
2002,Hail,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Hail,
2002,Tornado,F0
2002,Flash Flood,
2002,Hail,
2002,Drought,
2002,Thunderstorm Wind,
2002,Lightning,
2002,Tornado,F1
2002,Hail,
2002,Hail,
2002,Wildfire,
2002,Wildfire,
2002,Wildfire,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Hail,
2002,Lightning,
2002,Hail,
2002,Hail,
2002,Flood,
2002,Drought,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Tornado,F1
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Flood,
2002,Marine Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,High Wind,
2002,Hail,
2002,Marine Thunderstorm Wind,
2002,Marine Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Hail,
2002,Flood,
2002,Flood,
2002,Flood,
2002,Hail,
2002,Drought,
2002,Drought,
2002,Drought,
2002,Drought,
2002,Drought,
2002,Hail,
2002,Thunderstorm Wind,
2002,Flash Flood,
2002,Drought,
2002,Flash Flood,
2002,Drought,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Flash Flood,
2002,Flash Flood,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Flash Flood,
2002,Flash Flood,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Hail,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Drought,
2002,Tornado,F0
2002,Hail,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Flash Flood,
2002,Hail,
2002,Tornado,F1
2002,Hail,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Hail,
2002,Drought,
2002,Drought,
2002,Drought,
2002,Lightning,
2002,Thunderstorm Wind,
2002,Wildfire,
2002,Wildfire,
2002,Wildfire,
2002,Wildfire,
2002,Wildfire,
2002,Wildfire,
2002,Wildfire,
2002,Drought,
2002,Drought,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Flash Flood,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Flash Flood,
2002,Thunderstorm Wind,
2002,High Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Hail,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,High Wind,
2002,High Wind,
2002,Thunderstorm Wind,
2002,Tornado,F0
2002,Tornado,F0
2002,Tornado,F0
2002,Tornado,F0
2002,Tornado,F1
2002,Tornado,F0
2002,Tornado,F3
2002,Tornado,F1
2002,Lightning,
2002,Flood,
2002,Tornado,F2
2002,Tornado,F0
2002,Tornado,F1
2002,Flood,
2002,Flood,
2002,Flood,
2002,Flash Flood,
2002,Lightning,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Hail,
2002,High Wind,
2002,Hail,
2002,Flood,
2002,Flash Flood,
2002,Thunderstorm Wind,
2002,Hail,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Hail,
2002,Drought,
2002,Drought,
2002,Drought,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Extreme Cold/Wind Chill,
2002,Extreme Cold/Wind Chill,
2002,Drought,
2002,Tornado,F0
2002,Tornado,F0
2002,Tornado,F0
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Waterspout,
2002,Flash Flood,
2002,Flood,
2002,Hail,
2002,Thunderstorm Wind,
2002,Hail,
2002,Wildfire,
2002,Wildfire,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Drought,
2002,Drought,
2002,Flood,
2002,Heat,
2002,Hail,
2002,Thunderstorm Wind,
2002,Lightning,
2002,Thunderstorm Wind,
2002,Hail,
2002,Flash Flood,
2002,Flash Flood,
2002,Drought,
2002,Drought,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Tornado,F0
2002,Tornado,F0
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Drought,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Lightning,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Lightning,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Tornado,F1
2002,Hail,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Heavy Snow,
2002,Hail,
2002,Thunderstorm Wind,
2002,Marine Thunderstorm Wind,
2002,Marine Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,High Wind,
2002,High Wind,
2002,High Wind,
2002,Marine Thunderstorm Wind,
2002,Marine Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Marine Thunderstorm Wind,
2002,Drought,
2002,Drought,
2002,Drought,
2002,Drought,
2002,Drought,
2002,Drought,
2002,Flood,
2002,Flood,
2002,Flood,
2002,Flash Flood,
2002,Thunderstorm Wind,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Thunderstorm Wind,
2002,Funnel Cloud,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Strong Wind,
2002,Strong Wind,
2002,Strong Wind,
2002,Strong Wind,
2002,Flood,
2002,Flash Flood,
2002,Flash Flood,
2002,Flood,
2002,Strong Wind,
2002,Hail,
2002,Drought,
2002,Drought,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Thunderstorm Wind,
2002,Hail,
2002,Strong Wind,
2002,Strong Wind,
2002,Strong Wind,
2002,Strong Wind,
2002,Flood,
2002,Drought,
2002,Drought,
2002,Drought,
2002,Drought,
2002,Strong Wind,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Tornado,F0
2002,Funnel Cloud,
2002,Hail,
2002,Hail,
2002,Hail,
2002,Rip Current,
